	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.12109930306198248	-0.42381266513909716	0.00048354853815476477	0.23266973524276868
1	CYAZ	-0.05115519721026307	-0.09526994596840856	0.4576445222365979	-0.31081108637891386
2	KACV	-0.1315409988835483	-0.24283016352136105	0.03844992884431284	-0.19657565510243727
3	PAHO	-0.13779913940145885	-0.4658359672474078	3.2785268998594015e-05	-0.2812073477013111
4	KLGB	-0.10721957995857635	-0.23018504885549518	0.05009500298754884	-0.1493111383410386
5	KNUC	0.02690856477990444	0.04167771457522687	0.7560792983366915	0.03468673056260243
6	KNTD	0.06067032161345232	0.10943213506532301	0.35672539059596553	-0.13455900258302717
7	KNZY	-0.006312273594777023	-0.012013299060206532	0.9196507125710935	-0.01883890710223268
8	PACD	-0.26009557479127493	-0.4579405747075125	9.75704547819088e-05	-0.19590534942368085
9	PANT	-0.24609174330727138	-0.46077494866188745	0.00016412125713005527	-0.1982351044451286
10	KMRY	-0.18461342906891542	-0.3259309066135676	0.005206944445327179	-0.22495883378073064
11	KLAX	-0.06627160188829054	-0.1259793671467952	0.2882227717641798	-0.10961202897516771
12	KAST	-0.20638330650115877	-0.40453892069229813	0.0003855994306722382	-0.2640641696461566
13	KSAN	-0.010335579360042722	-0.01982394869130602	0.8677880162396865	-0.08029435209050387
14	KNSI	0.02996787099004878	0.04331275442874696	0.7424611865416854	-0.28103926509608484
15	KSFO	-0.13982548849588594	-0.3190866909332307	0.005931457293088116	-0.25675746551576617
16	KSIT	-0.3087883014569513	-0.5381889783147092	4.502219515519109e-06	-0.07558221808789922
17	PYAK	-0.3415446639121179	-0.5336148246756803	1.1669634941540782e-06	-0.21199341398285926
18	KOAK	-0.11223522041420385	-0.25641344494119445	0.02854342232265522	-0.22943052784863605
19	KOTH	-0.06165668626289301	-0.14328345134867854	0.22985624041191993	-0.0834011989335487
20	PADQ	-0.16301069028495385	-0.25473078362006146	0.029639821971088724	-0.09044782142917837
21	KVBG	-0.008178518564588892	-0.011258146824303114	0.9290757799379621	-0.3247019040293172
