	airports	slopes	r_val	p_val	PDO_r_val
0	PADK	-0.18597486814943717	-0.47192927691741887	8.258619872604443e-05	-0.00839469396898467
1	CYAZ	-0.04423389855378562	-0.08318828943183396	0.5168625087627521	-0.07124547330040033
2	KACV	-0.024773942968665523	-0.048317821331216405	0.684787003073884	-0.10150878514714605
3	PAHO	-0.24897999529298978	-0.6235244164739392	3.810351255781836e-09	-0.21162910747653155
4	KLGB	-0.11182797565633025	-0.27179323490734975	0.02001349122002105	-0.27749323984650653
5	KNUC	-0.11466321402011577	-0.15585818050628042	0.238487906765429	-0.26744943058612664
6	KNTD	-0.15419801869087094	-0.22637524489939748	0.05412323187877803	-0.17289654470168261
7	KNZY	-0.016208261464161548	-0.030322575907181647	0.7989832848117254	-0.1754404179575918
8	PACD	-0.39268609685027756	-0.6576521037812242	1.4839372365589353e-09	-0.29364334774122197
9	PANT	-0.22381958829769114	-0.4608037734290937	0.00018612854044618507	-0.3703910129344438
10	KMRY	-0.11988383606781786	-0.2166327810841119	0.06758105887593852	-0.27881382571283236
11	KLAX	-0.06609347035466853	-0.13614374536662507	0.25076520667168206	-0.24222387879291166
12	KAST	-0.16148430084158066	-0.33636679081070225	0.00361880942177558	-0.19897807842358572
13	KSAN	0.019045754357374257	0.037035275342792176	0.7557437862034626	-0.207706888676763
14	KNSI	-0.08888804683521845	-0.13194910052616668	0.3278715392946876	-0.23099135724468983
15	KSFO	-0.06734864240763107	-0.16619755444382253	0.1599385570076499	-0.04843519833095749
16	KSIT	-0.14638277219941434	-0.2530698572436508	0.04537507456523668	-0.08143126878832352
17	PYAK	-0.34758145488483977	-0.5218646953789314	2.1925257062342606e-06	-0.27520052154815255
18	KOAK	0.007064305378034719	0.018029958039501668	0.8796590341548436	0.09400702786147845
19	KOTH	-0.05488361864351458	-0.11745462968393458	0.3293097520435364	0.0532762691102003
20	PADQ	-0.29439342163682214	-0.41750435064362956	0.0002379113098217875	-0.16516127653760018
21	KVBG	-0.09386895902913218	-0.13287569157782025	0.29134329191647085	-0.30855860553099324
